Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1986-01-02,71.8542,71.8542,71.8542,71.8542,0
1986-01-03,71.4723,71.4723,71.4723,71.4723,0
1986-01-07,71.0884,71.0884,71.0884,71.0884,0
1986-01-08,70.1856,70.1856,70.1856,70.1856,0
1986-01-09,69.1649,69.1649,69.1649,69.1649,0
1986-01-10,69.5478,69.5478,69.5478,69.5478,0
1986-01-13,69.1649,69.1649,69.1649,69.1649,0
1986-01-14,68.908,68.908,68.908,68.908,0
1986-01-15,70.8325,70.8325,70.8325,70.8325,0
1986-01-16,70.5725,70.5725,70.5725,70.5725,0
1986-01-17,69.8008,69.8008,69.8008,69.8008,0
1986-01-20,69.5478,69.5478,69.5478,69.5478,0
1986-01-21,70.8325,70.8325,70.8325,70.8325,0
1986-01-22,72.1081,72.1081,72.1081,72.1081,0
1986-01-23,71.7223,71.7223,71.7223,71.7223,0
1986-01-24,73.3918,73.3918,73.3918,73.3918,0
1986-01-27,73.7757,73.7757,73.7757,73.7757,0
1986-01-28,75.3143,75.3143,75.3143,75.3143,0
1986-01-29,73.6437,73.6437,73.6437,73.6437,0
1986-01-30,74.0287,74.0287,74.0287,74.0287,0
1986-02-03,72.7579,72.7579,72.7579,72.7579,0
1986-02-04,71.2184,71.2184,71.2184,71.2184,0
1986-02-05,70.4476,70.4476,70.4476,70.4476,0
1986-02-06,69.5478,69.5478,69.5478,69.5478,0
1986-02-07,70.8325,70.8325,70.8325,70.8325,0
1986-02-10,72.1081,72.1081,72.1081,72.1081,0
1986-02-11,70.4476,70.4476,70.4476,70.4476,0
1986-02-17,69.9337,69.9337,69.9337,69.9337,0
1986-02-18,69.8008,69.8008,69.8008,69.8008,0
1986-02-19,68.65,68.65,68.65,68.65,0
1986-02-20,68.529,68.529,68.529,68.529,0
1986-02-21,69.2938,69.2938,69.2938,69.2938,0
1986-02-24,67.8822,67.8822,67.8822,67.8822,0
1986-02-25,69.2938,69.2938,69.2938,69.2938,0
1986-02-26,69.8008,69.8008,69.8008,69.8008,0
1986-02-27,69.2938,69.2938,69.2938,69.2938,0
1986-02-28,67.6293,67.6293,67.6293,67.6293,0
1986-03-03,66.9885,66.9885,66.9885,66.9885,0
1986-03-04,66.6076,66.6076,66.6076,66.6076,0
1986-03-05,67.3724,67.3724,67.3724,67.3724,0
1986-03-06,67.2444,67.2444,67.2444,67.2444,0
1986-03-07,67.3724,67.3724,67.3724,67.3724,0
1986-03-10,67.6293,67.6293,67.6293,67.6293,0
1986-03-11,69.5478,69.5478,69.5478,69.5478,0
1986-03-12,73.0079,73.0079,73.0079,73.0079,0
1986-03-13,71.7223,71.7223,71.7223,71.7223,0
1986-03-14,70.1856,70.1856,70.1856,70.1856,0
1986-03-18,71.8542,71.8542,71.8542,71.8542,0
1986-03-19,73.1389,73.1389,73.1389,73.1389,0
1986-03-20,74.0287,74.0287,74.0287,74.0287,0
1986-03-21,73.0079,73.0079,73.0079,73.0079,0
1986-03-24,70.5725,70.5725,70.5725,70.5725,0
1986-03-25,68.908,68.908,68.908,68.908,0
1986-03-26,70.5725,70.5725,70.5725,70.5725,0
1986-03-27,71.4723,71.4723,71.4723,71.4723,0
1986-04-01,71.2184,71.2184,71.2184,71.2184,0
1986-04-03,72.1081,72.1081,72.1081,72.1081,0
1986-04-07,73.0079,73.0079,73.0079,73.0079,0
1986-04-08,72.3721,72.3721,72.3721,72.3721,0
1986-04-09,72.3721,72.3721,72.3721,72.3721,0
1986-04-10,73.6437,73.6437,73.6437,73.6437,0
1986-04-11,73.1389,73.1389,73.1389,73.1389,0
1986-04-14,73.3918,73.3918,73.3918,73.3918,0
1986-04-16,72.4951,72.4951,72.4951,72.4951,0
1986-04-17,71.0884,71.0884,71.0884,71.0884,0
1986-04-18,70.4476,70.4476,70.4476,70.4476,0
1986-04-21,68.908,68.908,68.908,68.908,0
1986-04-22,69.2938,69.2938,69.2938,69.2938,0
1986-04-23,68.0142,68.0142,68.0142,68.0142,0
1986-04-25,68.908,68.908,68.908,68.908,0
1986-04-28,69.2938,69.2938,69.2938,69.2938,0
1986-04-29,69.9337,69.9337,69.9337,69.9337,0
1986-04-30,71.2184,71.2184,71.2184,71.2184,0
1986-05-01,71.0884,71.0884,71.0884,71.0884,0
1986-05-06,71.2184,71.2184,71.2184,71.2184,0
1986-05-07,69.8008,69.8008,69.8008,69.8008,0
1986-05-08,70.8325,70.8325,70.8325,70.8325,0
1986-05-09,72.1081,72.1081,72.1081,72.1081,0
1986-05-12,74.2906,74.2906,74.2906,74.2906,0
1986-05-13,73.0079,73.0079,73.0079,73.0079,0
1986-05-14,72.1081,72.1081,72.1081,72.1081,0
1986-05-15,70.8325,70.8325,70.8325,70.8325,0
1986-05-16,71.0884,71.0884,71.0884,71.0884,0
1986-05-19,72.1081,72.1081,72.1081,72.1081,0
1986-05-20,74.0287,74.0287,74.0287,74.0287,0
1986-05-21,73.6437,73.6437,73.6437,73.6437,0
1986-05-22,73.3918,73.3918,73.3918,73.3918,0
1986-05-23,74.6735,74.6735,74.6735,74.6735,0
1986-05-29,73.7757,73.7757,73.7757,73.7757,0
1986-05-30,73.6437,73.6437,73.6437,73.6437,0
1986-06-02,73.0079,73.0079,73.0079,73.0079,0
1986-06-03,74.2906,74.2906,74.2906,74.2906,0
1986-06-05,74.6735,74.6735,74.6735,74.6735,0
1986-06-06,74.4125,74.4125,74.4125,74.4125,0
1986-06-09,74.2906,74.2906,74.2906,74.2906,0
1986-06-10,73.0079,73.0079,73.0079,73.0079,0
1986-06-11,72.4951,72.4951,72.4951,72.4951,0
1986-06-12,72.1081,72.1081,72.1081,72.1081,0
1986-06-13,73.1389,73.1389,73.1389,73.1389,0
1986-06-18,73.3918,73.3918,73.3918,73.3918,0
1986-06-19,73.0079,73.0079,73.0079,73.0079,0
1986-06-20,73.1389,73.1389,73.1389,73.1389,0
1986-06-23,73.3918,73.3918,73.3918,73.3918,0
1986-06-24,73.7757,73.7757,73.7757,73.7757,0
1986-06-25,74.4125,74.4125,74.4125,74.4125,0
1986-06-26,75.3143,75.3143,75.3143,75.3143,0
1986-06-27,74.9284,74.9284,74.9284,74.9284,0
1986-06-30,75.9502,75.9502,75.9502,75.9502,0
1986-07-01,75.5682,75.5682,75.5682,75.5682,0
1986-07-03,74.6735,74.6735,74.6735,74.6735,0
1986-07-04,74.0287,74.0287,74.0287,74.0287,0
