Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
1984-01-09,0.079,0.079,0.079,0.079
1984-01-16,0.081,0.081,0.081,0.081
1984-01-23,0.08,0.08,0.08,0.08
1984-01-30,0.083,0.083,0.083,0.083
1984-02-06,0.087,0.087,0.087,0.087
1984-02-13,0.086,0.086,0.086,0.086
1984-02-20,0.086,0.086,0.086,0.086
1984-03-01,0.108,0.108,0.108,0.108
1984-03-05,0.111,0.111,0.111,0.111
1984-03-12,0.106,0.106,0.106,0.106
1984-03-19,0.105,0.105,0.105,0.105
1984-03-26,0.105,0.105,0.105,0.105
1984-04-02,0.102,0.102,0.102,0.102
1984-04-09,0.102,0.102,0.102,0.102
1984-04-16,0.1,0.1,0.1,0.1
1984-04-24,0.102,0.102,0.102,0.102
1984-05-02,0.101,0.101,0.101,0.101
1984-05-07,0.097,0.097,0.097,0.097
1984-05-14,0.1,0.1,0.1,0.1
1984-05-21,0.102,0.102,0.102,0.102
1984-05-28,0.102,0.102,0.102,0.102
1984-06-04,0.105,0.105,0.105,0.105
1984-06-11,0.096,0.096,0.096,0.096
1984-06-18,0.096,0.096,0.096,0.096
1984-06-25,0.093,0.093,0.093,0.093
1984-07-02,0.095,0.095,0.095,0.095
1984-07-09,0.087,0.087,0.087,0.087
1984-07-16,0.085,0.085,0.085,0.085
1984-07-23,0.082,0.082,0.082,0.082
1984-07-30,0.081,0.081,0.081,0.081
1984-08-06,0.086,0.086,0.086,0.086
1984-08-13,0.089,0.089,0.089,0.089
1984-08-20,0.085,0.085,0.085,0.085
1984-08-27,0.086,0.086,0.086,0.086
1984-09-01,0.094,0.094,0.094,0.094
1984-09-10,0.092,0.092,0.092,0.092
1984-09-17,0.09,0.09,0.09,0.09
1984-09-24,0.098,0.098,0.098,0.098
1984-10-01,0.097,0.097,0.097,0.097
1984-10-08,0.093,0.093,0.093,0.093
1984-10-15,0.093,0.093,0.093,0.093
1984-10-22,0.093,0.093,0.093,0.093
1984-10-29,0.091,0.091,0.091,0.091
1984-11-05,0.097,0.097,0.097,0.097
1984-11-12,0.096,0.096,0.096,0.096
1984-11-19,0.093,0.093,0.093,0.093
1984-11-26,0.092,0.092,0.092,0.092
1984-12-01,0.093,0.093,0.093,0.093
1984-12-10,0.087,0.087,0.087,0.087
1984-12-17,0.082,0.082,0.082,0.082
1984-12-24,0.082,0.082,0.082,0.082
1985-01-01,0.09,0.09,0.09,0.09
1985-01-07,0.085,0.085,0.085,0.085
1985-01-14,0.084,0.084,0.084,0.084
1985-01-21,0.088,0.088,0.088,0.088
1985-01-28,0.088,0.088,0.088,0.088
1985-02-04,0.086,0.086,0.086,0.086
1985-02-11,0.088,0.088,0.088,0.088
1985-02-18,0.089,0.089,0.089,0.089
1985-02-25,0.078,0.078,0.078,0.078
1985-03-04,0.082,0.082,0.082,0.082
1985-03-11,0.08,0.08,0.08,0.08
1985-03-18,0.085,0.085,0.085,0.085
1985-03-25,0.089,0.089,0.089,0.089
1985-03-29,0.093,0.093,0.093,0.093
1985-04-01,0.089,0.089,0.089,0.089
1985-04-09,0.091,0.091,0.091,0.091
1985-04-15,0.091,0.091,0.091,0.091
1985-04-22,0.087,0.087,0.087,0.087
1985-04-29,0.088,0.088,0.088,0.088
1985-05-06,0.085,0.085,0.085,0.085
1985-05-13,0.093,0.093,0.093,0.093
1985-05-20,0.084,0.084,0.084,0.084
1985-05-27,0.084,0.084,0.084,0.084
1985-06-01,0.098,0.098,0.098,0.098
1985-06-10,0.098,0.098,0.098,0.098
1985-06-17,0.099,0.099,0.099,0.099
1985-06-24,0.097,0.097,0.097,0.097
1985-07-01,0.095,0.095,0.095,0.095
1985-07-08,0.096,0.096,0.096,0.096
1985-07-15,0.097,0.097,0.097,0.097
1985-07-23,0.095,0.095,0.095,0.095
1985-07-29,0.097,0.097,0.097,0.097
1985-08-05,0.096,0.096,0.096,0.096
1985-08-12,0.098,0.098,0.098,0.098
1985-08-19,0.097,0.097,0.097,0.097
1985-08-26,0.099,0.099,0.099,0.099
1985-09-02,0.099,0.099,0.099,0.099
1985-09-09,0.094,0.094,0.094,0.094
1985-09-16,0.096,0.096,0.096,0.096
1985-09-23,0.097,0.097,0.097,0.097
1985-09-30,0.093,0.093,0.093,0.093
1985-10-07,0.097,0.097,0.097,0.097
1985-10-14,0.095,0.095,0.095,0.095
1985-10-21,0.094,0.094,0.094,0.094
1985-10-28,0.093,0.093,0.093,0.093
1985-11-04,0.092,0.092,0.092,0.092
1985-11-11,0.092,0.092,0.092,0.092
1985-11-18,0.092,0.092,0.092,0.092
1985-11-25,0.096,0.096,0.096,0.096
1985-12-02,0.093,0.093,0.093,0.093
1985-12-09,0.088,0.088,0.088,0.088
1985-12-16,0.089,0.089,0.089,0.089
1985-12-23,0.087,0.087,0.087,0.087
1986-01-01,0.087,0.087,0.087,0.087
1986-01-06,0.092,0.092,0.092,0.092
1986-01-13,0.095,0.095,0.095,0.095
1986-01-20,0.097,0.097,0.097,0.097
1986-01-27,0.097,0.097,0.097,0.097
1986-02-01,0.112,0.112,0.112,0.112
1986-02-10,0.107,0.107,0.107,0.107
1986-02-17,0.106,0.106,0.106,0.106
1986-02-24,0.104,0.104,0.104,0.104
1986-03-01,0.102,0.102,0.102,0.102
1986-03-03,0.095,0.095,0.095,0.095
1986-03-10,0.095,0.095,0.095,0.095
1986-03-17,0.099,0.099,0.099,0.099
1986-03-18,0.097,0.097,0.097,0.097
1986-03-24,0.096,0.096,0.096,0.096
1986-04-01,0.086,0.086,0.086,0.086
1986-04-07,0.091,0.091,0.091,0.091
1986-04-09,0.092,0.092,0.092,0.092
1986-04-14,0.093,0.093,0.093,0.093
1986-04-21,0.086,0.086,0.086,0.086
1986-04-28,0.084,0.084,0.084,0.084
1986-05-05,0.086,0.086,0.086,0.086
1986-05-12,0.086,0.086,0.086,0.086
1986-05-19,0.08,0.08,0.08,0.08
1986-05-26,0.081,0.081,0.081,0.081
1986-06-02,0.086,0.086,0.086,0.086
1986-06-09,0.09,0.09,0.09,0.09
1986-06-16,0.084,0.084,0.084,0.084
1986-06-23,0.084,0.084,0.084,0.084
1986-06-30,0.085,0.085,0.085,0.085
1986-07-07,0.084,0.084,0.084,0.084
1986-07-14,0.083,0.083,0.083,0.083
1986-07-21,0.083,0.083,0.083,0.083
1986-07-28,0.083,0.083,0.083,0.083
1986-08-04,0.084,0.084,0.084,0.084
1986-08-11,0.091,0.091,0.091,0.091
1986-08-18,0.082,0.082,0.082,0.082
1986-08-25,0.084,0.084,0.084,0.084
1986-09-01,0.104,0.104,0.104,0.104
1986-09-08,0.114,0.114,0.114,0.114
1986-09-15,0.119,0.119,0.119,0.119
1986-09-22,0.121,0.121,0.121,0.121
1986-09-29,0.111,0.111,0.111,0.111
1986-10-06,0.116,0.116,0.116,0.116
1986-10-13,0.114,0.114,0.114,0.114
1986-10-20,0.116,0.116,0.116,0.116
1986-10-27,0.112,0.112,0.112,0.112
1986-11-01,0.113,0.113,0.113,0.113
1986-11-10,0.116,0.116,0.116,0.116
1986-11-17,0.11,0.11,0.11,0.11
1986-11-24,0.107,0.107,0.107,0.107
1986-12-01,0.11,0.11,0.11,0.11
1986-12-08,0.108,0.108,0.108,0.108
1986-12-15,0.111,0.111,0.111,0.111
1986-12-22,0.109,0.109,0.109,0.109
1986-12-31,0.108,0.108,0.108,0.108
1987-01-12,0.11,0.11,0.11,0.11
1987-01-19,0.111,0.111,0.111,0.111
1987-01-26,0.11,0.11,0.11,0.11
1987-02-01,0.137,0.137,0.137,0.137
1987-02-09,0.133,0.133,0.133,0.133
1987-02-16,0.134,0.134,0.134,0.134
1987-02-23,0.133,0.133,0.133,0.133
1987-03-02,0.134,0.134,0.134,0.134
1987-03-09,0.135,0.135,0.135,0.135
1987-03-16,0.135,0.135,0.135,0.135
1987-03-23,0.139,0.139,0.139,0.139
1987-03-30,0.151,0.151,0.151,0.151
1987-04-06,0.161,0.161,0.161,0.161
1987-04-13,0.168,0.168,0.168,0.168
1987-04-21,0.191,0.191,0.191,0.191
1987-04-27,0.209,0.209,0.209,0.209
1987-05-04,0.218,0.218,0.218,0.218
1987-05-11,0.213,0.213,0.213,0.213
1987-05-18,0.226,0.226,0.226,0.226
1987-05-25,0.232,0.232,0.232,0.232
1987-06-01,0.19,0.19,0.19,0.19
1987-06-08,0.196,0.196,0.196,0.196
1987-06-15,0.196,0.196,0.196,0.196
1987-06-22,0.172,0.172,0.172,0.172
1987-06-29,0.189,0.189,0.189,0.189
1987-07-06,0.201,0.201,0.201,0.201
1987-07-13,0.202,0.202,0.202,0.202
1987-07-20,0.203,0.203,0.203,0.203
1987-07-27,0.209,0.209,0.209,0.209
1987-08-03,0.238,0.238,0.238,0.238
1987-08-10,0.216,0.216,0.216,0.216
1987-08-17,0.211,0.211,0.211,0.211
1987-08-24,0.226,0.226,0.226,0.226
1987-08-31,0.212,0.212,0.212,0.212
1987-09-07,0.217,0.217,0.217,0.217
1987-09-14,0.223,0.223,0.223,0.223
1987-09-21,0.231,0.231,0.231,0.231
1987-09-28,0.228,0.228,0.228,0.228
1987-10-05,0.229,0.229,0.229,0.229
1987-10-12,0.234,0.234,0.234,0.234
1987-10-19,0.245,0.245,0.245,0.245
1987-10-26,0.224,0.224,0.224,0.224
1987-11-02,0.212,0.212,0.212,0.212
1987-11-09,0.201,0.201,0.201,0.201
1987-11-16,0.207,0.207,0.207,0.207
1987-11-23,0.22,0.22,0.22,0.22
1987-11-30,0.23,0.23,0.23,0.23
1987-12-07,0.216,0.216,0.216,0.216
1987-12-14,0.227,0.227,0.227,0.227
1987-12-21,0.218,0.218,0.218,0.218
1987-12-28,0.22,0.22,0.22,0.22
1988-01-04,0.206,0.206,0.206,0.206
1988-01-11,0.218,0.218,0.218,0.218
1988-01-18,0.212,0.212,0.212,0.212
1988-01-25,0.212,0.212,0.212,0.212
1988-02-01,0.251,0.251,0.251,0.251
1988-02-08,0.242,0.242,0.242,0.242
1988-02-15,0.242,0.242,0.242,0.242
1988-02-22,0.246,0.246,0.246,0.246
1988-02-29,0.241,0.241,0.241,0.241
